City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,puerto aysen,-45.4,-72.7,5.02,81,75,0.0,CL,1685051762
83,aasiaat,68.7098,-52.8699,-0.18,79,2,2.31,GL,1685051611
84,paracuru,-3.41,-39.0306,28.95,81,80,4.11,BR,1685051763
85,kostyantynivka,48.5277,37.7069,15.95,87,16,0.52,UA,1685051763
86,tangalle,6.024,80.7911,26.09,89,22,5.08,LK,1685051763
87,udachny,66.4167,112.4,1.36,63,100,3.64,RU,1685051620
88,san pedro pochutla,15.7333,-96.4667,32.06,57,92,3.12,MX,1685051764
89,new norfolk,-42.7826,147.0587,7.62,73,90,0.89,AU,1685051764
90,dhidhdhoo,6.8833,73.1,28.79,74,54,4.8,MV,1685051764
91,miramichi,47.0043,-65.4654,7.86,78,97,4.32,CA,1685051610
92,happy valley-goose bay,53.3168,-60.3315,10.17,50,20,6.17,CA,1685051764
93,uturoa,-16.7333,-151.4333,27.33,77,35,5.37,PF,1685051765
94,okhotsk,59.3833,143.3,2.46,86,100,1.03,RU,1685051682
95,shengli,37.4564,118.4856,19.22,65,92,2.05,CN,1685051765
96,albany,42.6001,-73.9662,19.13,41,36,4.19,US,1685051543
97,mangaratiba,-22.9597,-44.0406,23.48,86,0,1.33,BR,1685051766
98,invercargill,-46.4,168.35,14.48,67,99,5.97,NZ,1685051277
99,puerto ayora,-0.7393,-90.3518,31.98,88,37,3.58,EC,1685051766
100,itoman,26.1247,127.6694,23.01,75,20,3.6,JP,1685051766
101,maisi,43.0395,41.2621,13.29,85,62,2.13,GE,1685051767
102,howrah,22.5892,88.3103,25.0,83,75,3.6,IN,1685051767
103,tabalah,19.95,42.4,23.58,46,82,3.32,SA,1685051767
104,thunder bay,48.4001,-89.3168,16.95,23,40,5.66,CA,1685051620
105,crane,31.3974,-102.3501,29.96,44,51,6.71,US,1685051768
106,newman,37.3138,-121.0208,26.8,44,0,5.81,US,1685051768
107,isafjordur,66.0755,-23.124,5.06,70,94,1.98,IS,1685051768
108,vallenar,-28.5708,-70.7581,18.09,49,79,2.05,CL,1685051769
109,nouadhibou,20.931,-17.0347,18.99,88,20,8.23,MR,1685051769
110,puerto natales,-51.7236,-72.4875,0.33,91,98,2.45,CL,1685051769
111,novovorontsovka,47.5004,33.9175,17.24,86,99,1.49,UA,1685051769
112,arraial do cabo,-22.9661,-42.0278,21.98,94,0,4.12,BR,1685051770
113,soio,-6.1349,12.3689,24.83,87,86,3.64,AO,1685051770
114,city of balikpapan,-1.242,116.8942,26.97,94,20,1.54,ID,1685051770
115,dudinka,69.4058,86.1778,0.9,94,93,4.62,RU,1685051770
