City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nuuk,64.1835,-51.7216,276.49,52,20,5.14,GL,1684704637
84,road town,18.4167,-64.6167,302.2,78,20,4.12,VG,1684704637
85,tiksi,71.6872,128.8694,262.02,91,38,2.03,RU,1684704638
86,mukalla,14.5425,49.1242,302.08,86,96,2.64,YE,1684704638
87,tateyama,34.9833,139.8667,293.77,88,62,2.69,JP,1684704638
88,udachny,66.4167,112.4,271.18,53,79,1.62,RU,1684704638
89,olonkinbyen,70.9221,-8.7187,274.64,97,100,7.52,SJ,1684704535
90,cromer,52.9312,1.2989,285.15,87,27,7.75,GB,1684704639
91,lorengau,-2.0226,147.2712,300.39,81,99,3.42,PG,1684704639
92,howard springs,-12.497,131.047,291.1,48,0,6.69,AU,1684704640
93,thompson,55.7435,-97.8558,287.24,26,40,1.54,CA,1684704640
94,east london,-33.0153,27.9116,287.29,71,81,4.99,ZA,1684704640
95,nguigmi,14.2495,13.1092,306.18,36,60,6.81,NE,1684704640
96,tura,25.5198,90.2201,293.26,91,30,0.63,IN,1684704640
97,hermanus,-34.4187,19.2345,281.37,80,100,3.03,ZA,1684704641
98,borogontsy,62.6683,131.1683,271.95,70,55,3.36,RU,1684704641
99,margate,51.3813,1.3862,285.87,82,24,3.13,GB,1684704641
100,eyl,7.9803,49.8164,301.15,80,80,4.38,SO,1684704641
101,enewetak,11.3474,162.3373,300.7,79,100,4.98,MH,1684704642
102,hasaki,35.7333,140.8333,293.83,88,100,2.26,JP,1684704642
103,lauro de freitas,-12.8944,-38.3272,300.16,74,75,5.66,BR,1684704642
104,sretensk,52.2453,117.7093,285.37,44,15,0.36,RU,1684704642
105,alaghsas,17.0187,8.0168,306.96,14,5,4.12,NE,1684704642
106,revda,56.801,59.9303,283.46,57,79,0.05,RU,1684704643
107,ilulissat,69.2167,-51.1,271.16,69,100,4.63,GL,1684704492
108,college,64.8569,-147.8028,293.41,39,40,2.57,US,1684704587
109,aden,12.7794,45.0367,304.18,59,72,4.46,YE,1684704643
110,albany,42.6001,-73.9662,296.42,50,10,1.34,US,1684704399
111,anadyr,64.75,177.4833,276.43,81,100,3.0,RU,1684704644
112,fang,19.9169,99.2145,296.61,62,42,1.07,TH,1684704644
113,amursk,50.2261,136.8994,283.16,78,100,4.42,RU,1684704644
114,crane,31.3974,-102.3501,300.49,39,45,5.69,US,1684704644
115,bembereke,10.2283,2.6634,298.84,76,73,1.76,BJ,1684704645
116,vila velha,-20.3297,-40.2925,297.01,72,0,1.03,BR,1684704645
117,yerofey pavlovich,53.9667,121.9667,284.24,56,55,0.75,RU,1684704645
118,itaperucu,-25.22,-49.3478,290.32,98,100,0.24,BR,1684704645
119,hirara,24.8,125.2833,299.3,94,40,5.14,JP,1684704646
120,bayganin,48.6947,55.8742,287.98,55,69,4.76,KZ,1684704646
121,tutoia,-2.7619,-42.2744,298.86,87,85,3.46,BR,1684704646
122,moroto,2.5345,34.6666,295.11,57,43,1.86,UG,1684704647
123,rockland,41.1668,-74.0496,294.63,59,14,1.78,US,1684704647
124,varginha,-21.5514,-45.4303,288.36,63,48,1.42,BR,1684704531
125,santa ana,33.7456,-117.8678,305.6,67,75,4.12,US,1684704605
126,marsh harbour,26.5412,-77.0636,299.27,72,35,4.28,BS,1684704647
127,kalmunai,7.4167,81.8167,299.07,87,100,1.75,LK,1684704648
128,christchurch,-43.5333,172.6333,282.56,91,64,0.51,NZ,1684704471
129,grytviken,-54.2811,-36.5092,271.07,70,99,4.75,GS,1684704648
130,lerwick,60.1545,-1.1494,280.15,82,24,1.28,GB,1684704648
131,kourou,5.1552,-52.6478,300.18,93,100,3.42,GF,1684704648
132,winneba,5.3511,-0.6231,297.32,97,91,1.98,GH,1684704649
133,zemio,5.0314,25.1361,294.62,94,63,1.6,CF,1684704649
